주차장이름,주차면수,경도,위도,전일가격,법정동코드
658 노상주차장,1,127.095219,37.538021,40000,10300
658 노상주차장,1,127.095233,37.537866,40000,10300
658 노상주차장,1,127.09521,37.537852,40000,10300
658 노상주차장,1,127.095145,37.537798,40000,10300
658 노상주차장,1,127.094919,37.537665,40000,10300
658 노상주차장,1,127.094298,37.537409,40000,10300
660 노상주차장,1,127.092462,37.542365,40000,10300
660 노상주차장,1,127.092453,37.542568,40000,10300
660 노상주차장,1,127.092549,37.542826,40000,10300
660 거주자우선주차장,1,127.092569,37.543058,40000,10300
동원빌딩,3,127.077762,37.5546759,40000,10900
비전빌딩옆노상주차장,1,127.077436,37.554826,40000,10900
비전빌딩옆노상주차장,1,127.077621,37.554395,40000,10900
비전빌딩옆노상주차장,1,127.077676,37.554448,40000,10900
비전빌딩옆노상주차장,1,127.077545,37.554409,40000,10900
27-4 노상주차장,1,127.076747,37.553067,40000,10900
27-4 노상주차장,1,127.077156,37.553161,40000,10900
27-4 노상주차장,1,127.076651,37.553058,40000,10900
27-4 노상주차장,1,127.076916,37.553056,40000,10900
45-11 노상주차장,1,127.077424,37.554866,40000,10900
45-11 노상주차장,1,127.077498,37.554939,40000,10900
45-11 노상주차장,1,127.077381,37.554845,40000,10900
45-11 노상주차장,1,127.07754,37.555062,40000,10900
149-12 거주자우선주차장,1,127.074046,37.553417,40000,10900
149-12 거주자우선주차장,1,127.074122,37.553357,40000,10900
149-12 거주자우선주차장,1,127.073911,37.553567,40000,10900
195-18 노상주차장,1,127.072664,37.556371,40000,10900
280 노상주차장,1,127.074941,37.552432,40000,10900
세종대학교노상주차장,1,127.073256,37.548914,40000,10900
348-11 노상주차장,1,127.070201,37.550838,40000,10900
348-16 노상주차장,1,127.069946,37.550452,40000,10900
348-13 노상주차장,1,127.070028,37.550583,40000,10900
348-13 노상주차장,1,127.070121,37.550688,40000,10900
348-11 노상주차장,1,127.070164,37.550767,40000,10900
351-2 노상주차장,1,127.069823,37.550165,40000,10900
351-1 노상주차장,1,127.069867,37.550276,40000,10900
장안초등학교,30,127.072382,37.5498589,40000,10900
367-8 노상주차장,1,127.072333,37.549127,40000,10900
369-15 노상주차장,1,127.072894,37.549381,40000,10900
369-15 노상주차장,1,127.072785,37.549323,40000,10900
세종대학교노상주차장,1,127.073261,37.548766,40000,10900
세종대학교노상주차장,1,127.073265,37.548744,40000,10900
세종대학교노상주차장,1,127.073265,37.548831,40000,10900
세종대학교노상주차장,1,127.073247,37.548718,40000,10900
세종대학교노상주차장,1,127.073248,37.548687,40000,10900
세종대학교노상주차장,1,127.073237,37.548652,40000,10900
세종대학교노상주차장,1,127.073264,37.548875,40000,10900
세종대학교노상주차장,1,127.073245,37.548565,40000,10900
세종대학교노상주차장,1,127.073246,37.548447,40000,10900
세종대학교노상주차장,1,127.073248,37.548484,40000,10900
세종대학교노상주차장,1,127.073239,37.548608,40000,10900
세종대학교노상주차장,1,127.073232,37.548508,40000,10900
세종대학교노상주차장,1,127.073233,37.548351,40000,10900
세종대학교노상주차장,1,127.073216,37.548284,40000,10900
세종대학교노상주차장,1,127.07318,37.548245,40000,10900
세종대학교노상주차장,1,127.073042,37.548126,40000,10900
세종대학교노상주차장,1,127.073258,37.548408,40000,10900
세종대학교노상주차장,1,127.073073,37.548169,40000,10900
466-16 거주자우선주차장,1,127.076693,37.557563,40000,10900
어린이대공원노상주차장,1,127.083546,37.552605,40000,10200
능동 IoT 공유주차장,1,127.079257,37.55195,40000,10200
어린이대공원노상주차장,1,127.082517,37.55223,40000,10200
135-40 거주자우선주차장,1,127.081667,37.552286,40000,10200
135-40 거주자우선주차장,1,127.081595,37.552357,40000,10200
어린이대공원노상주차장,1,127.082702,37.552404,40000,10200
어린이대공원노상주차장,1,127.082605,37.552298,40000,10200
135-40 거주자우선주차장,1,127.08173,37.552272,40000,10200
135-40 거주자우선주차장,1,127.081552,37.552417,40000,10200
166-6 거주자우선주차장,1,127.0813855,37.5529066,0,10200
166-6 거주자우선주차장,1,127.0813646,37.5528669,0,10200
166-6 거주자우선주차장,1,127.081332,37.552808,0,10200
181-2 노상주차장,1,127.081058,37.553812,40000,10200
201-2 노상주차장,1,127.079721,37.553733,40000,10200
201-2 노상주차장,1,127.079388,37.553814,40000,10200
201-2 노상주차장,1,127.0799,37.553643,40000,10200
201-2 노상주차장,1,127.079487,37.553791,40000,10200
223-25 노상주차장,1,127.0802038,37.5554537,40000,10200
223-25 노상주차장,1,127.0803697,37.555391,40000,10200
223-41 노상주차장,1,127.0794233,37.555605,40000,10200
223-41 노상주차장,1,127.079402,37.555568,40000,10200
223-24 노상주차장,1,127.080551,37.555262,40000,10200
223-25 노상주차장,1,127.080489,37.555295,40000,10200
224-1 노상주차장,1,127.0796978,37.5560918,40000,10200
224-1 노상주차장,1,127.0796737,37.5560491,40000,10200
224-1 노상주차장,1,127.079636,37.5556,40000,10200
224-1 노상주차장,1,127.079665,37.556008,40000,10200
225-31 노상주차장,1,127.079094,37.554926,40000,10200
