주차장이름(pl_nm),일반-1일(전일)(pl_allday_pass_amt),계획주차면수(pl_num_space_planned),법정동코드(bemd_code),경도(logitude),위도(latitude)
송일빌라트 주차장,0,8.0,10200,127.083267,37.555038
능동로32길 111-00 주차장,0,7.0,10200,127.084439,37.553283
리치팰리스 주차장,0,10.0,10200,127.077602,37.552063
천호대로122길 034-00 주차장,0,4.0,10200,127.087202,37.552194
천호대로116길 088-00 주차장,0,2.0,10200,127.081768,37.552419
천호대로116길 047-00 주차장,0,3.0,10200,127.083264,37.55316
천호대로120길 029-00 주차장,0,6.0,10200,127.08628,37.552823
천호대로120길 031-00 주차장,0,6.0,10200,127.086206,37.552718
윤중빌딩 주차장,0,10.0,10200,127.078137,37.554086
능동로24길 037-00 주차장,0,1.0,10200,127.078843,37.552301
능마루주택 주차장,0,3.0,10200,127.079336,37.55257
능동로28길 036-00 주차장,0,3.0,10200,127.079277,37.552688
대성파크빌라 주차장,0,8.0,10200,127.078396,37.553314
능동로 268-06 주차장,0,9.0,10200,127.078093,37.55357
삼호빌라트 주차장,0,2.0,10200,127.078257,37.553533
에이스빌라 주차장,0,2.0,10200,127.078144,37.553393
경원빌라 주차장,0,8.0,10200,127.077822,37.553083
능동로36길 073-00 주차장,0,1.0,10200,127.083151,37.5551
능동로36길 074-01 주차장,0,4.0,10200,127.082994,37.554764
유림파크빌 주차장,0,6.0,10200,127.085653,37.553699
능동로36길 126-04 주차장,0,3.0,10200,127.085434,37.553766
능동로28길 027-00 주차장,0,2.0,10200,127.078909,37.552934
능동로28길 026-00 주차장,0,5.0,10200,127.078794,37.552807
능동로28길 023-00 주차장,0,5.0,10200,127.078819,37.552964
파크뷰 주차장,0,7.0,10200,127.078416,37.553066
세종파크빌 주차장,0,7.0,10200,127.07869,37.552735
능동로26길 023-00 주차장,0,3.0,10200,127.078663,37.552617
능동로32길 122-00 주차장,0,2.0,10200,127.084866,37.552865
천호대로118길 029-00 주차장,0,2.0,10200,127.084999,37.553341
도란도란 주차장,0,4.0,10200,127.085469,37.553141
능동로36길 121-00 주차장,0,4.0,10200,127.085583,37.554179
