관리번호,위도,경도
광나루로8-6,37.5454101,127.0835088
광나루로8-7,37.5454296,127.0831549
광나루로8-8,37.5454483,127.0828379
광나루로8-9,37.5454629,127.0825095
광나루로9-1,37.5449775,127.085447
광나루로9-10,37.5448076,127.0890789
광나루로9-11,37.5447796,127.0894356
광나루로9-12,37.544754,127.0898348
광나루로9-13,37.5447192,127.0902029
광나루로9-14,37.544646,127.0905514
광나루로9-2,37.5449722,127.0858517
광나루로9-3,37.5449464,127.0862141
광나루로9-4,37.54493,127.0866811
광나루로9-5,37.5448774,127.0871173
광나루로9-6,37.5448766,127.0875248
광나루로9-7,37.5448619,127.0878334
광나루로9-8,37.5448562,127.0882715
광나루로9-9,37.5448197,127.0886628
광장로1-1,37.5481836,127.1068657
광장로1-2,37.5480883,127.106523
광장로1-3,37.5480018,127.106175
광진13-3,37.5448728,127.1045236
구의강변로1-1,37.5311581,127.0919232
구의강변로1-10,37.533507,127.0915397
구의강변로1-11,37.5332119,127.0915696
구의강변로1-12,37.5328266,127.0915943
구의강변로1-13,37.5325496,127.0916155
구의강변로1-14,37.532054,127.0916636
구의강변로1-15,37.5319301,127.0916784
구의강변로1-16,37.5316508,127.0917082
구의강변로1-17,37.531385,127.0917351
구의강변로1-18,37.530984,127.091777
구의강변로1-2,37.5316471,127.0919487
구의강변로1-3,37.5323094,127.0918886
구의강변로1-4,37.5328895,127.0918194
구의강변로1-5,37.5333569,127.0918008
구의강변로1-6,37.5340938,127.091794
구의강변로1-7,37.5344096,127.0915663
구의강변로1-8,37.5341109,127.0915363
구의강변로1-9,37.5337796,127.0915211
구의강변로2-1,37.5370878,127.0929039
구의강변로2-10,37.5347386,127.0919036
구의강변로2-11,37.5353105,127.0921103
구의강변로2-12,37.5358584,127.0925003
구의강변로2-13,37.5364454,127.0928423
구의강변로2-14,37.5366758,127.0929938
구의강변로2-15,37.5367462,127.0931406
구의강변로2-16,37.5366293,127.0932375
구의강변로2-2,37.5368869,127.0927833
구의강변로2-3,37.5366813,127.0926372
구의강변로2-4,37.5364036,127.0924718
구의강변로2-5,37.5361122,127.0922922
구의강변로2-6,37.5357734,127.092048
구의강변로2-7,37.5354123,127.0918576
구의강변로2-8,37.5349655,127.0916986
구의강변로2-9,37.5346645,127.0916215
구의강변로3-1,37.5377214,127.0936077
구의강변로3-10,37.5403797,127.0947167
구의강변로3-2,37.5379904,127.0938298
구의강변로3-3,37.5382384,127.0938851
구의강변로3-4,37.5385521,127.0940277
구의강변로3-5,37.5391474,127.0941433
구의강변로3-6,37.5394271,127.0942267
구의강변로3-7,37.5396121,127.0942879
구의강변로3-8,37.5398827,127.0943544
구의강변로3-9,37.54014,127.0944803
구의강변로4-1,37.5366842,127.0937327
구의강변로4-10,37.5378801,127.0919288
구의강변로4-11,37.5379516,127.0917671
구의강변로4-12,37.5379737,127.091634
구의강변로4-13,37.5380159,127.0914414
구의강변로4-14,37.5380668,127.0911723
구의강변로4-15,37.5380921,127.0910169
구의강변로4-16,37.5381194,127.0906711
구의강변로4-17,37.5381393,127.0903092
구의강변로4-18,37.5381218,127.0901532
구의강변로4-19,37.5380376,127.0898961
구의강변로4-2,37.5368357,127.0935829
구의강변로4-20,37.538057,127.0896329
구의강변로4-3,37.5371052,127.093321
구의강변로4-4,37.5372757,127.0930937
구의강변로4-5,37.5374058,127.0929232
구의강변로4-6,37.5374719,127.0928101
구의강변로4-7,37.5375783,127.0926181
구의강변로4-8,37.5376723,127.0924139
구의강변로4-9,37.5377751,127.0921841
구의강변로5-1,37.5396091,127.0933938
구의강변로5-10,37.5389481,127.0938388
구의강변로5-11,37.5384428,127.0937001
구의강변로5-12,37.5380027,127.0934478
구의강변로5-13,37.5376357,127.0932351
구의강변로5-14,37.5374403,127.0931282
구의강변로5-2,37.5397337,127.093611
구의강변로5-3,37.5398154,127.093769
구의강변로5-4,37.5399626,127.0939946
구의강변로5-5,37.5401606,127.0942458
구의강변로5-6,37.5398775,127.094046
구의강변로5-7,37.5396888,127.0940051
구의강변로5-8,37.5394983,127.0939773
구의강변로5-9,37.5392863,127.0939162
구천면로 아17-18,37.5466173,127.1061737
구천면로 아17-19,37.5466261,127.1064666
구천면로 아17-20,37.546581,127.1067219
구천면로 아17-21,37.5465338,127.1069934
구천면로 아17-22,37.5464908,127.1072702
구천면로 아17-23,37.546445,127.1075309
군자교입구1-1,37.5591691,127.0745009
군자교입구1-2,37.5590543,127.0748066
군자교입구1-3,37.5589246,127.0751285
군자교입구1-4,37.5588183,127.0753887
군자교입구1-5,37.5588991,127.0754476
군자교입구1-6,37.5587885,127.0757427
군자교입구1-7,37.5586822,127.0760056
군자교입구1-8,37.5585865,127.0762658
군자로1-1,37.5536611,127.0735071
군자로1-10,37.5520489,127.071199
군자로1-11,37.5518527,127.0711462
군자로1-12,37.5516159,127.0710995
군자로1-13,37.5513217,127.0710649
군자로1-14,37.5510591,127.0710461
군자로1-15,37.5508021,127.0709882
군자로1-16,37.5506014,127.0709581
군자로1-17,37.5503488,127.0708888
군자로1-18,37.5500736,127.0708281
군자로1-19,37.5498278,127.0707616
군자로1-2,37.5534496,127.0731104
군자로1-20,37.5495932,127.0707205
군자로1-21,37.5493068,127.0706571
군자로1-22,37.549061,127.0706132
군자로1-23,37.5487858,127.0705214
군자로1-24,37.5485264,127.0704465
군자로1-25,37.5483053,127.0703968
군자로1-26,37.5484084,127.0706658
군자로1-27,37.5486679,127.0707464
군자로1-3,37.5532714,127.0727486
군자로1-4,37.5530965,127.0723873
군자로1-5,37.5529786,127.0721729
군자로1-6,37.5528832,127.0719782
군자로1-7,37.55272,127.0717244
군자로1-8,37.5526046,127.0715977
군자로1-9,37.5523965,127.0713753
군자로10길1-1,37.5488731,127.0707961
군자로10길1-2,37.5488478,127.0709524
군자로10길1-3,37.5488405,127.0711388
군자로10길1-4,37.5488529,127.0714387
군자로10길1-5,37.5486996,127.0714142
군자로10길1-6,37.5485509,127.0714376
군자로10길1-7,37.5483886,127.0714074
긴고랑5-1,37.5621695,127.0824758
긴고랑5-2,37.5620553,127.0826718
긴고랑5-3,37.5618941,127.0829741
긴고랑5-4,37.5617776,127.0831701
긴고랑5-5,37.5616568,127.0834114
긴고랑5-6,37.561527,127.0836385
긴고랑5-7,37.561406,127.0838515
긴고랑5-8,37.5612626,127.0841099
긴고랑5-9,37.5611351,127.0843484
긴고랑6-1,37.561354,127.0844434
긴고랑6-2,37.5614952,127.0842077
긴고랑6-3,37.5616564,127.0839124
긴고랑6-4,37.5617998,127.083705
긴고랑6-5,37.5619342,127.0834608
긴고랑6-6,37.5620517,127.08322
긴고랑6-7,37.5622319,127.0829128
긴고랑6-8,37.5623687,127.0827054
긴고랑6-9,37.5624403,127.0825691
긴고랑로1-1,37.564067,127.0768164
긴고랑로1-10,37.5633251,127.0791644
긴고랑로1-11,37.5632292,127.0794424
긴고랑로1-12,37.5631644,127.0796041
긴고랑로1-2,37.5639958,127.0770801
긴고랑로1-3,37.5639068,127.077392
긴고랑로1-4,37.5638132,127.0776869
긴고랑로1-5,37.56374,127.0779421
긴고랑로1-6,37.5636651,127.0781723
긴고랑로1-7,37.5635548,127.0784951
긴고랑로1-8,37.56349,127.0786852
긴고랑로1-9,37.5633965,127.0789744
긴고랑로10-1,37.5589787,127.0908509
긴고랑로10-2,37.5588806,127.0911317
긴고랑로10-3,37.558801,127.0915935
긴고랑로10-4,37.5588181,127.0919557
긴고랑로10-5,37.5588869,127.0923148
긴고랑로10-6,37.5589719,127.0927757
긴고랑로10-7,37.5590296,127.0931802
긴고랑로10-8,37.5590601,127.0935395
긴고랑로10-9,37.5592081,127.0939746
긴고랑로11-1,37.5594115,127.0941349
긴고랑로11-2,37.5596962,127.0943655
긴고랑로11-3,37.5599877,127.0945875
긴고랑로11-4,37.560226,127.094782
긴고랑로11-5,37.5604311,127.0950945
긴고랑로11-6,37.5606779,127.095447
긴고랑로11-7,37.5609129,127.0956213
긴고랑로12-1,37.5611682,127.0958435
긴고랑로12-12,37.5613419,127.0958879
긴고랑로12-3,37.5616238,127.0959373
긴고랑로12-4,37.5618472,127.0960267
긴고랑로12-5,37.5620503,127.0961162
긴고랑로12-6,37.5622084,127.0962144
긴고랑로2-1,37.563406,127.079733
긴고랑로2-10,37.5641862,127.0773649
긴고랑로2-11,37.5642328,127.077175
긴고랑로2-12,37.5643241,127.0768602
긴고랑로2-2,37.5634526,127.0795487
긴고랑로2-3,37.5635844,127.0792168
긴고랑로2-4,37.563658,127.079007
긴고랑로2-5,37.5637628,127.0787091
긴고랑로2-6,37.5638361,127.0784285
긴고랑로2-7,37.5639367,127.0781703
긴고랑로2-8,37.5640124,127.0779321
긴고랑로2-9,37.5641149,127.0776173
긴고랑로3-1,37.5630931,127.0798452
긴고랑로3-10,37.5623169,127.0820971
긴고랑로3-2,37.5630062,127.0801061
긴고랑로3-3,37.5629304,127.0803472
긴고랑로3-4,37.5628255,127.080645
긴고랑로3-5,37.5627586,127.0808491
긴고랑로3-6,37.562656,127.0811413
긴고랑로3-7,37.5625669,127.0814107
긴고랑로3-8,37.5624877,127.0816493
긴고랑로3-9,37.5624287,127.0818502
긴고랑로4-1,37.5625788,127.0822287
긴고랑로4-10,37.5633301,127.0799514
긴고랑로4-2,37.5626276,127.0820105
긴고랑로4-3,37.5627034,127.0817921
긴고랑로4-4,37.562777,127.0815567
긴고랑로4-5,37.5628572,127.0813015
긴고랑로4-6,37.562942,127.0810123
긴고랑로4-7,37.5630316,127.0807796
긴고랑로4-8,37.5631461,127.0804794
긴고랑로4-9,37.563214,127.0802351
긴고랑로7-1,37.560928,127.084718
긴고랑로7-10,37.5598252,127.086739
긴고랑로7-11,37.5597379,127.0869065
긴고랑로7-12,37.5596126,127.0871478
긴고랑로7-13,37.5595231,127.0873295
긴고랑로7-14,37.5594133,127.0874999
긴고랑로7-2,37.5608014,127.0849447
긴고랑로7-3,37.5606917,127.0851491
긴고랑로7-4,37.5605663,127.0853876
긴고랑로7-5,37.5604477,127.0856034
긴고랑로7-6,37.5602977,127.0858788
긴고랑로7-7,37.5601656,127.0861342
긴고랑로7-8,37.5600459,127.0863448
긴고랑로7-9,37.5599574,127.0865091
긴고랑로8-1,37.5597915,127.0873988
긴고랑로8-10,37.5609062,127.0852725
긴고랑로8-11,37.5610272,127.0850482
긴고랑로8-12,37.5611212,127.0848807
긴고랑로8-13,37.5612555,127.0846364
긴고랑로8-2,37.5598877,127.0871718
긴고랑로8-3,37.5600309,127.0868965
긴고랑로8-4,37.5601473,127.086692
긴고랑로8-5,37.5602974,127.0864222
긴고랑로8-6,37.5604205,127.0861951
긴고랑로8-7,37.5605481,127.0859624
긴고랑로8-8,37.5606624,127.0857663
긴고랑로8-9,37.5607899,127.085508
긴고랑로9-1,37.559383,127.0878681
긴고랑로9-2,37.5591788,127.0881155
긴고랑로9-3,37.5590199,127.0884362
긴고랑로9-4,37.5589964,127.0887873
긴고랑로9-5,37.559036,127.0891806
긴고랑로9-6,37.5590915,127.0895935
긴고랑로9-7,37.559111,127.0899954
긴고랑로9-8,37.559092,127.0903493
능동로1-1,37.5326886,127.0673867
능동로1-2,37.5329156,127.0674914
능동로1-3,37.5331715,127.0676813
능동로1-4,37.5333819,127.0677892
능동로1-5,37.5336339,127.0679003
능동로1-6,37.5338411,127.0679945
능동로1-7,37.5340853,127.0681202
능동로1-8,37.534271,127.0682118
능동로1-9,37.5344522,127.068298
능동로10-1,37.5472443,127.0738649
능동로10-10,37.5450088,127.0727978
능동로10-11,37.5446972,127.0726536
능동로10-12,37.5444918,127.0725589
능동로10-13,37.5442284,127.0724366
능동로10-14,37.5439795,127.0723228
능동로10-15,37.5437867,127.072234
능동로10-16,37.5434784,127.0720931
능동로10-17,37.5432438,127.0719834
능동로10-18,37.5430118,127.0718734
능동로10-19,37.5427425,127.0717462
능동로10-2,37.5469403,127.073731
능동로10-20,37.542557,127.0716577
능동로10-3,37.5466928,127.0736129
능동로10-4,37.5465067,127.0735238
능동로10-5,37.5462273,127.0733859
능동로10-6,37.5459659,127.0732583
능동로10-7,37.5457175,127.073134
능동로10-8,37.5454761,127.0730171
능동로10-9,37.5452622,127.0729181
능동로10길 능5-1,37.5372219,127.070887
능동로10길 능5-2,37.5373026,127.0706372
능동로10길 능5-3,37.5373861,127.0703928
능동로10길 능5-4,37.5374701,127.0701464
