"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"광진구","그린파킹-구의2-048-비상벨","37.5479","127.0903","1","2022-12-01"
"광진구","그린파킹-구의2-049-01","37.5489","127.0914","1","2022-12-01"
"광진구","그린파킹-구의2-049-비상벨","37.5489","127.0914","1","2022-12-01"
"광진구","그린파킹-구의2-050-01","37.5473","127.0895","1","2022-12-01"
"광진구","그린파킹-구의2-050-비상벨","37.5473","127.0895","1","2022-12-01"
"광진구","그린파킹-군자-004-01","37.5554","127.0722","1","2022-12-01"
"광진구","그린파킹-군자-004-비상벨","37.5554","127.0722","1","2022-12-01"
"광진구","그린파킹-능동-005-01","37.5527","127.0813","1","2022-12-01"
"광진구","그린파킹-능동-005-비상벨","37.5527","127.0813","1","2022-12-01"
"광진구","그린파킹-능동-006-01","37.5564","127.0801","1","2022-12-01"
"광진구","그린파킹-능동-006-비상벨","37.5564","127.0801","1","2022-12-01"
"광진구","그린파킹-능동-007-01","37.5555","127.0808","1","2022-12-01"
"광진구","그린파킹-능동-007-비상벨","37.5555","127.0808","1","2022-12-01"
"광진구","그린파킹-능동-009-01","37.5540","127.0803","1","2022-12-01"
"광진구","그린파킹-능동-009-비상벨","37.5540","127.0803","1","2022-12-01"
"광진구","그린파킹-능동-011-01","37.5548","127.0838","1","2022-12-01"
"광진구","그린파킹-능동-011-비상벨","37.5548","127.0838","1","2022-12-01"
"광진구","그린파킹-능동-012-01","37.5538","127.0834","1","2022-12-01"
"광진구","그린파킹-능동-012-비상벨","37.5538","127.0834","1","2022-12-01"
"광진구","그린파킹-능동-013-01","37.5528","127.0837","1","2022-12-01"
"광진구","그린파킹-능동-013-비상벨","37.5528","127.0837","1","2022-12-01"
"광진구","그린파킹-능동-014-01","37.5537","127.0865","1","2022-12-01"
"광진구","그린파킹-능동-014-비상벨","37.5537","127.0865","1","2022-12-01"
"광진구","그린파킹-능동-015-01","37.5530","127.0856","1","2022-12-01"
"광진구","그린파킹-능동-015-비상벨","37.5530","127.0856","1","2022-12-01"
"광진구","그린파킹-능동-016-01","37.5528","127.0858","1","2022-12-01"
"광진구","그린파킹-능동-016-비상벨","37.5528","127.0858","1","2022-12-01"
"광진구","그린파킹-능동-017-01","37.5522","127.0877","1","2022-12-01"
"광진구","그린파킹-능동-017-비상벨","37.5522","127.0877","1","2022-12-01"
"광진구","그린파킹-능동-018-01","37.5542","127.0786","1","2022-12-01"
"광진구","그린파킹-능동-018-비상벨","37.5542","127.0786","1","2022-12-01"
"광진구","그린파킹-능동-019-01","37.5521","127.0782","1","2022-12-01"
"광진구","그린파킹-능동-019-비상벨","37.5521","127.0782","1","2022-12-01"
"광진구","그린파킹-능동-020-01","37.5553","127.0792","1","2022-12-01"
"광진구","그린파킹-능동-020-비상벨","37.5553","127.0792","1","2022-12-01"
"광진구","그린파킹-능동-021-01","37.5533","127.0794","1","2022-12-01"
"광진구","그린파킹-능동-021-비상벨","37.5533","127.0794","1","2022-12-01"
"광진구","그린파킹-자양1-051-01","37.5370","127.0789","1","2022-12-01"
"광진구","그린파킹-자양1-051-비상벨","37.5370","127.0789","1","2022-12-01"
"광진구","그린파킹-중곡1-022-01","37.5615","127.0794","1","2022-12-01"
"광진구","그린파킹-중곡1-022-비상벨","37.5615","127.0794","1","2022-12-01"
"광진구","그린파킹-중곡2-023-01","37.5571","127.0873","1","2022-12-01"
"광진구","그린파킹-중곡2-023-비상벨","37.5571","127.0873","1","2022-12-01"
"광진구","그린파킹-중곡2-024-01","37.5586","127.0854","1","2022-12-01"
"광진구","그린파킹-중곡2-024-비상벨","37.5586","127.0854","1","2022-12-01"
"광진구","그린파킹-중곡2-025-01","37.5631","127.0832","1","2022-12-01"
"광진구","그린파킹-중곡2-025-비상벨","37.5631","127.0832","1","2022-12-01"
"광진구","그린파킹-중곡2-052-01","37.5576","127.0856","1","2022-12-01"
"광진구","그린파킹-중곡2-052-비상벨","37.5576","127.0856","1","2022-12-01"
"광진구","그린파킹-중곡3-026-01","37.5638","127.0859","1","2022-12-01"
"광진구","그린파킹-중곡3-026-비상벨","37.5638","127.0859","1","2022-12-01"
"광진구","그린파킹-중곡3-027-01","37.5668","127.0798","1","2022-12-01"
"광진구","그린파킹-중곡3-027-비상벨","37.5668","127.0798","1","2022-12-01"
"광진구","그린파킹-중곡3-028-01","37.5662","127.0819","1","2022-12-01"
"광진구","그린파킹-중곡3-028-비상벨","37.5662","127.0819","1","2022-12-01"
"광진구","그린파킹-중곡3-029-01","37.5661","127.0831","1","2022-12-01"
"광진구","그린파킹-중곡3-029-비상벨","37.5661","127.0831","1","2022-12-01"
"광진구","그린파킹-중곡3-030-01","37.5658","127.0824","1","2022-12-01"
"광진구","그린파킹-중곡3-030-비상벨","37.5658","127.0824","1","2022-12-01"
"광진구","그린파킹-중곡3-031-01","37.5667","127.0854","1","2022-12-01"
"광진구","그린파킹-중곡3-031-비상벨","37.5667","127.0854","1","2022-12-01"
"광진구","그린파킹-중곡3-053-01","37.5671","127.0789","1","2022-12-01"
"광진구","그린파킹-중곡3-053-비상벨","37.5671","127.0789","1","2022-12-01"
"광진구","그린파킹-중곡4-032-01","37.5595","127.0914","1","2022-12-01"
"광진구","그린파킹-중곡4-032-비상벨","37.5595","127.0914","1","2022-12-01"
"광진구","그린파킹-중곡4-033-01","37.5590","127.0944","1","2022-12-01"
"광진구","그린파킹-중곡4-033-비상벨","37.5590","127.0944","1","2022-12-01"
"광진구","그린파킹-중곡4-034-01","37.5705","127.0879","1","2022-12-01"
"광진구","그린파킹-중곡4-034-비상벨","37.5705","127.0879","1","2022-12-01"
"광진구","그린파킹-중곡4-035-01","37.5709","127.0875","1","2022-12-01"
"광진구","그린파킹-중곡4-035-비상벨","37.5709","127.0875","1","2022-12-01"
"광진구","그린파킹-중곡4-036-01","37.5620","127.0956","1","2022-12-01"
"광진구","그린파킹-중곡4-036-비상벨","37.5620","127.0956","1","2022-12-01"
"광진구","그린파킹-중곡4-037-01","37.5611","127.0950","1","2022-12-01"
"광진구","그린파킹-중곡4-037-비상벨","37.5611","127.0950","1","2022-12-01"
