일련번호(no),주차장고유값(pl_id),지번주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),주소(지번)(lot_num_address),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),거주자-주간(월)금액(resident_day_month_amt),거주자-야간(월)금액(resident_night_month_amt),거주자-전일(월)금액(resident_allday_month_amt),경도(longitude),위도(latitude)
134,4757758,10-1 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-1 한아름건물,0,0,0,0,0,0,30000,20000,40000,127.070372,37.543423
135,4757775,10-7 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-7 서울빌라,0,0,0,0,0,0,30000,20000,40000,127.070126,37.542839
136,4757776,47-22 노상주차장,11215,10700,서울특별시 광진구 화양동 47-22,0,0,0,0,0,0,30000,20000,40000,127.068021,37.542628
137,4757777,8-36 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 8-36 화양공원 공중화장실,0,0,0,0,0,0,30000,20000,40000,127.069471,37.541517
138,4798474,47-22 노상주차장,11215,10700,서울특별시 광진구 화양동 47-22,0,0,0,0,0,0,30000,20000,40000,127.068067,37.542722
139,4805925,10-1 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-1 한아름건물,0,0,0,0,0,0,30000,20000,40000,127.070012,37.543817
140,4807587,8-36 노상주차장,11215,10700,서울특별시 광진구 화양동 8-36 화양공원 공중화장실,0,0,0,0,0,0,30000,20000,40000,127.069571,37.54175
141,4813448,10-1 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-1 한아름건물,0,0,0,0,0,0,30000,20000,40000,127.069941,37.543867
142,4820481,8-36 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 8-36 화양공원 공중화장실,0,0,0,0,0,0,30000,20000,40000,127.069471,37.541517
143,4837284,8-36 노상주차장,11215,10700,서울특별시 광진구 화양동 8-36 화양공원 공중화장실,0,0,0,0,0,0,30000,20000,40000,127.069571,37.54175
144,4841157,10-1 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-1 한아름건물,0,0,0,0,0,0,30000,20000,40000,127.070206,37.543595
145,4843066,10-1 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-1 한아름건물,0,0,0,0,0,0,30000,20000,40000,127.070299,37.543172
146,4810375,35-47 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 35-47,0,0,0,0,0,0,30000,20000,40000,127.06876,37.543979
147,4755367,500-14 노상주차장,11215,10700,서울특별시 광진구 화양동 500-14,0,0,0,0,0,0,30000,20000,40000,127.074906,37.545238
148,4830005,500-14 노상주차장,11215,10700,서울특별시 광진구 화양동 500-14,0,0,0,0,0,0,30000,20000,40000,127.074578,37.545301
149,4737530,500-14 노상주차장,11215,10700,서울특별시 광진구 화양동 500-14,0,0,0,0,0,0,30000,20000,40000,127.074446,37.545333
150,4737529,500-14 노상주차장,11215,10700,서울특별시 광진구 화양동 500-14,0,0,0,0,0,0,30000,20000,40000,127.074528,37.545322
151,4737531,500-14 노상주차장,11215,10700,서울특별시 광진구 화양동 500-14,0,0,0,0,0,0,30000,20000,40000,127.074375,37.545374
152,4830706,500-14 노상주차장,11215,10700,서울특별시 광진구 화양동 500-14,0,0,0,0,0,0,30000,20000,40000,127.074309,37.545381
153,4737532,500-14 노상주차장,11215,10700,서울특별시 광진구 화양동 500-14,0,0,0,0,0,0,30000,20000,40000,127.074242,37.545412
154,5532140,526-34 거주자우선주차장,11215,10700,서울특별시 광진구 자양동 226-32,0,0,0,0,0,0,30000,20000,40000,127.075122,37.538909
155,5532174,526-34 거주자우선주차장,11215,10700,서울특별시 광진구 자양동 226-32,0,0,0,0,0,0,30000,20000,40000,127.075121,37.538948
156,5532175,526-34 거주자우선주차장,11215,10700,서울특별시 광진구 자양동 226-32,0,0,0,0,0,0,30000,20000,40000,127.075126,37.539
157,5532176,526-34 거주자우선주차장,11215,10700,서울특별시 광진구 자양동 226-32,0,0,0,0,0,0,30000,20000,40000,127.075133,37.539047
