pl_id,pl_nm,logitude,latitude,resident_day_month_amt,resident_night_month_amt,resident_allday_month_amt
5544225,658 노상주차장,127.095214,37.538877,30000,20000,40000
5544224,658 노상주차장,127.095209,37.538812,30000,20000,40000
5544223,658 노상주차장,127.095214,37.538769,30000,20000,40000
5544222,658 노상주차장,127.095208,37.538749,30000,20000,40000
5544221,658 노상주차장,127.095208,37.538638,30000,20000,40000
5544220,658 노상주차장,127.095203,37.538564,30000,20000,40000
5544219,658 노상주차장,127.095188,37.538505,30000,20000,40000
5544218,658 노상주차장,127.095200,37.538397,30000,20000,40000
5544217,658 노상주차장,127.095188,37.538382,30000,20000,40000
5544216,658 노상주차장,127.095199,37.538077,30000,20000,40000
5544215,658 노상주차장,127.095219,37.538021,30000,20000,40000
5544214,658 노상주차장,127.095233,37.537866,30000,20000,40000
5544213,658 노상주차장,127.095210,37.537852,30000,20000,40000
5544212,658 노상주차장,127.095145,37.537798,30000,20000,40000
5544211,658 노상주차장,127.094919,37.537665,30000,20000,40000
4810182,658 노상주차장,127.094298,37.537409,30000,20000,40000
4757101,660 노상주차장,127.092462,37.542365,30000,20000,40000
4757100,660 노상주차장,127.092453,37.542568,30000,20000,40000
4757098,660 노상주차장,127.092549,37.542826,30000,20000,40000
4757096,660 거주자우선주차장,127.092569,37.543058,30000,20000,40000
5110988,동원빌딩,127.077762,37.5546759,30000,20000,40000
4757989,비전빌딩옆노상주차장,127.077436,37.554826,30000,20000,40000
4757988,비전빌딩옆노상주차장,127.077621,37.554395,30000,20000,40000
4757688,비전빌딩옆노상주차장,127.077676,37.554448,30000,20000,40000
