일련번호(no),주차장고유값(pl_id),주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),주소(지번)(lot_num_address),일반-기본단위시간(pl_basic_rate_min),일반-기본단위금액(pl_basic_rate_amt),일반-추가단위시간(pl_addi_rate_min),일반-추가단위금액(pl_addi_rate_amt),일반-1일(전일)(pl_allday_pass_amt),일반-1월(정기권)(pl_month_pass_amt),건축물층수-지하(pl_num_floor_underground),건축물층수-지상(pl_num_floor_aboveground),계획주차면수(pl_num_space_planned),경도(logitude),위도(latitude)
6093,5023283,자양로50길 021-00 주차장,11215,10300,서울특별시 광진구 구의동 32-33,0,0,0,0,0,0,1,4,0.0,127.09352,37.55226
6094,5021466,자양로50길 033-01 주차장,11215,10300,서울특별시 광진구 구의동 32-9,0,0,0,0,0,0,1,4,0.0,127.094168,37.552413
6095,5020153,자양로50길 037-00 주차장,11215,10300,서울특별시 광진구 구의동 32-42,0,0,0,0,0,0,1,3,2.0,127.094332,37.552416
6096,5122003,삼성하이츠빌라 주차장,11215,10300,서울특별시 광진구 구의동 24-14 삼성하이츠빌라,0,0,0,0,0,0,1,4,0.0,127.094742,37.552534
6097,5014997,삼성파크빌라 주차장,11215,10300,서울특별시 광진구 구의동 24-12 삼성파크빌라,0,0,0,0,0,0,1,4,8.0,127.094967,37.552577
6098,5065575,남광하이츠빌라 주차장,11215,10300,서울특별시 광진구 구의동 24-10 남광하이츠빌라,0,0,0,0,0,0,1,4,7.0,127.095272,37.552662
6099,5014998,휴에버빌 주차장,11215,10300,서울특별시 광진구 구의동 23-26 휴에버빌,0,0,0,0,0,0,1,4,8.0,127.095656,37.552741
6100,5015463,리치그린빌 주차장,11215,10300,서울특별시 광진구 구의동 23-4 리치그린빌,0,0,0,0,0,0,1,4,8.0,127.095889,37.552789
6101,5015465,자양로50길 069-00 주차장,11215,10300,서울특별시 광진구 구의동 23-5,0,0,0,0,0,0,1,3,0.0,127.096072,37.552837
6102,5015470,삼성홈타운 주차장,11215,10300,서울특별시 광진구 구의동 23-8 삼성홈타운,0,0,0,0,0,0,1,4,6.0,127.096277,37.552907
6103,5111606,유진아트빌라 주차장,11215,10300,서울특별시 광진구 구의동 23-15 유진아트빌라,0,0,0,0,0,0,0,5,7.0,127.096504,37.552961
6104,5015481,유진아트빌라 주차장,11215,10300,서울특별시 광진구 구의동 23-16 유진아트빌라,0,0,0,0,0,0,1,4,5.0,127.096664,37.552992
6105,5015829,삼성스위트빌 주차장,11215,10300,서울특별시 광진구 구의동 23-17 삼성스위트빌,0,0,0,0,0,0,1,4,8.0,127.09675,37.553045
6106,5015830,이창하하우스 주차장,11215,10300,서울특별시 광진구 구의동 23-18 이창하하우스,0,0,0,0,0,0,2,4,8.0,127.096839,37.553158
6107,5013674,비바체 주차장,11215,10300,서울특별시 광진구 구의동 23-27 비바체,0,0,0,0,0,0,2,4,8.0,127.09696,37.553253
6108,5124338,자양로50길 009-00 주차장,11215,10300,서울특별시 광진구 구의동 31-17,0,0,0,0,0,0,0,5,0.0,127.092896,37.552099
6109,5065583,이화아트맨션 주차장,11215,10300,서울특별시 광진구 구의동 28-51 이화아트맨션,0,0,0,0,0,0,1,4,1.0,127.092979,37.553703
6110,5017974,자양로51길 010-04 주차장,11215,10300,서울특별시 광진구 구의동 28-12,0,0,0,0,0,0,1,2,0.0,127.09318,37.553645
6111,4957689,대원갤럭시 주차장,11215,10300,서울특별시 광진구 구의동 30-43,0,0,0,0,0,0,0,5,9.0,127.092865,37.553193
6112,5021329,월하재단노인복지센터 주차장,11215,10300,서울특별시 광진구 구의동 30-25,0,0,0,0,0,0,1,4,0.0,127.092454,37.553115
6113,5125418,자양로51길 011-06 주차장,11215,10300,서울특별시 광진구 구의동 29-11,0,0,0,0,0,0,0,5,12.0,127.092524,37.553605
6114,5020556,정수아트빌 주차장,11215,10300,서울특별시 광진구 구의동 30-23,0,0,0,0,0,0,0,6,10.0,127.092687,37.553357
6115,5020151,이화연립 주차장,11215,10300,서울특별시 광진구 구의동 29-16 이화연립,0,0,0,0,0,0,1,4,8.0,127.092613,37.55369
6116,5023134,정수아트빌 주차장,11215,10300,서울특별시 광진구 구의동 28-50,0,0,0,0,0,0,0,5,7.0,127.092878,37.553964
6117,5023135,현대그린빌 주차장,11215,10300,서울특별시 광진구 구의동 28-42 현대그린빌,0,0,0,0,0,0,0,4,7.0,127.092739,37.554029
6118,5020555,자양로51길 005-00 주차장,11215,10300,서울특별시 광진구 구의동 30-2,0,0,0,0,0,0,1,2,9.0,127.093048,37.553381
6119,5017981,자양로51길 006-01 주차장,11215,10300,서울특별시 광진구 구의동 28-15,0,0,0,0,0,0,1,2,1.0,127.093157,37.553538
6120,5017975,자양로51길 008-00 주차장,11215,10300,서울특별시 광진구 구의동 28-14,0,0,0,0,0,0,0,6,4.0,127.093092,37.553609
