"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,개인사업체,개인사업체,회사법인,회사법인,회사이외의 법인,회사이외의 법인,비법인단체,비법인단체
"동별(1)",동별(2),동별(3),사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
"동별(1)",동별(2),동별(3),사업체수,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계
"합계",성북구,동선동,2682,1106,10483,4459,6024,2234,4773,330,2770,98,2528,20,412
"합계",성북구,종암동,2858,1121,8433,4095,4338,2504,4397,204,1697,102,1933,48,406
"합계",성북구,석관동,3072,1093,8770,4774,3996,2750,4725,195,2228,72,1313,55,504
"합계",강북구,소계,26385,9807,80222,38440,41782,23115,42640,1976,18456,933,15081,361,4045
"합계",강북구,번1동,2486,949,10192,4230,5962,2048,4266,344,4241,64,1292,30,393
"합계",강북구,번2동,912,270,3732,2198,1534,776,1219,62,886,60,1384,14,243
"합계",강북구,번3동,1126,337,3302,1804,1498,997,1843,62,759,42,485,25,215
"합계",강북구,수유1동,2031,797,5815,2859,2956,1757,2855,162,1042,85,1702,27,216
"합계",강북구,수유2동,1828,642,4637,2251,2386,1617,2853,94,916,77,316,40,552
"합계",강북구,수유3동,3235,1257,9873,4641,5232,2891,5662,236,1973,79,2009,29,229
"합계",강북구,삼양동,1562,548,4104,1937,2167,1417,2348,51,471,69,1023,25,262
"합계",강북구,미아동,2337,901,6971,3176,3795,1996,3691,243,1281,75,1765,23,234
"합계",강북구,송중동,3022,1190,8752,3755,4997,2621,5276,277,2106,99,1069,25,301
"합계",강북구,송천동,2658,975,7730,3651,4079,2387,5138,166,1309,76,1015,29,268
"합계",강북구,삼각산동,1405,605,2949,1233,1716,1281,1884,56,248,38,468,30,349
"합계",강북구,우이동,1557,574,5515,3384,2131,1367,2364,98,2266,65,566,27,319
"합계",강북구,인수동,2226,762,6650,3321,3329,1960,3241,125,958,104,1987,37,464
"합계",도봉구,소계,25391,8886,79097,41600,37497,22187,38108,1812,18159,932,18093,460,4737
"합계",도봉구,쌍문1동,1457,501,4787,2318,2469,1270,2266,91,736,71,1536,25,249
"합계",도봉구,쌍문2동,1680,651,5781,3048,2733,1438,2647,135,1758,61,804,46,572
"합계",도봉구,쌍문3동,1307,512,4323,1997,2326,1175,2056,73,538,45,1542,14,187
"합계",도봉구,쌍문4동,907,355,2236,1069,1167,814,1232,34,152,40,726,19,126
"합계",도봉구,방학1동,2996,1201,13758,7382,6376,2580,4876,256,3537,112,4605,48,740
"합계",도봉구,방학2동,1576,519,3226,1700,1526,1450,2474,56,245,46,302,24,205
"합계",도봉구,방학3동,1476,447,3861,2009,1852,1325,2425,66,389,48,758,37,289
"합계",도봉구,창1동,2141,699,4381,2296,2085,1959,2923,109,563,50,747,23,148
"합계",도봉구,창2동,2020,728,4978,2745,2233,1809,2927,123,1024,51,605,37,422
"합계",도봉구,창3동,1241,453,2511,1209,1302,1148,1777,37,159,30,275,26,300
"합계",도봉구,창4동,1861,630,7981,4289,3692,1467,2780,259,3372,94,1558,41,271
"합계",도봉구,창5동,2547,780,7316,3748,3568,2188,3931,235,1750,89,1210,35,425
"합계",도봉구,도봉1동,2147,758,6178,3529,2649,1850,3061,150,1866,105,912,42,339
"합계",도봉구,도봉2동,2035,652,7780,4261,3519,1714,2733,188,2070,90,2513,43,464
