점포구분명,상세영업상태명,사업장명,좌표정보(X),좌표정보(Y)
휴게음식점,영업,고망고건대중문점,206242.446953064,448893.145881002
휴게음식점,영업,향식,207608.375941942,450607.082572147
휴게음식점,영업,커피삼촌,208400.766105381,448730.872416215
휴게음식점,영업,GS25광진시티점,207439.343010783,447691.293841398
휴게음식점,영업,파파벨리 피자,206217.434726027,448506.218743834
휴게음식점,영업,커피에반하다 강변역점,208558.286631653,448353.905156369
휴게음식점,영업,더코너,207752.888595363,449654.154979773
휴게음식점,영업,빨간모자웨딩카페,205827.491453868,448155.977849035
휴게음식점,영업,빽다방(건대로데오점),205906.77215752,448710.967950599
휴게음식점,영업,뉴턴엔터테인먼트,205930.90842787,447507.969485782
휴게음식점,영업,요거프레소(구의강변로점),207995.95709474,448085.242458867
휴게음식점,영업,테이큰(TAKEN),206636.521268184,449232.141821273
휴게음식점,영업,아멜라떼,207563.554378306,448495.104114247
휴게음식점,영업,민트모리(MINTMORI),208959.503516287,449514.604370002
휴게음식점,영업,선주카페,205822.959532109,447372.650718356
휴게음식점,영업,에이미스광진점,207897.590391352,448338.35599465
휴게음식점,영업,지에스25(GS25) 중곡청운점,207547.267633962,450338.885154696
휴게음식점,영업,세븐일레븐건대예술점,206296.651168879,449039.858490756
휴게음식점,영업,씨유(CU)광진하이엘점,208080.912100162,447993.12681343
휴게음식점,영업,와플그란데,206303.290143562,450078.974685457
휴게음식점,영업,아이엔지(ING)건국대부동산학관점,206445.881091692,448922.881688102
휴게음식점,영업,면곡당,207173.430000102,452042.264814215
휴게음식점,영업,예설스페이스,209067.08938771,449329.868928688
휴게음식점,영업,씨유자양뚝섬로점,205677.183650652,448046.820022478
휴게음식점,영업,아마스빈,207943.02814167,450040.171054344
휴게음식점,영업,달달보드레,205949.858730729,449002.00320403
휴게음식점,영업,바르다김선생아차산역점,207922.0,449892.0
휴게음식점,영업,공차아차산역점,,
휴게음식점,영업,빨간모자피자자양점,207317.168155287,447696.796863007
휴게음식점,영업,영수네,207731.386014308,451256.583432882
휴게음식점,영업,파인카페,208310.372259506,448631.437594782
