행정동,위도,경도
구의1동,37.5406,127.0886
구의1동,37.5406,127.0886
구의1동,37.5406,127.0886
구의1동,37.5379,127.0852
구의1동,37.5379,127.0852
구의1동,37.5379,127.0852
구의1동,37.5379,127.0852
구의1동,37.5422,127.0873
구의1동,37.5422,127.0873
구의1동,37.5422,127.0873
구의1동,37.5422,127.0873
구의1동,37.5422,127.0873
구의1동,37.5414,127.0888
구의1동,37.5414,127.0888
구의1동,37.5414,127.0888
구의1동,37.5414,127.0888
구의1동,37.5412,127.087
구의1동,37.5412,127.087
구의1동,37.5412,127.087
구의1동,37.5412,127.087
구의1동,37.5412,127.087
구의1동,37.5412,127.087
구의1동,37.5433,127.0837
구의1동,37.5433,127.0837
구의1동,37.5433,127.0837
구의1동,37.5433,127.0837
구의1동,37.5433,127.0837
구의1동,37.5437,127.0827
구의1동,37.5437,127.0827
구의1동,37.5437,127.0827
구의1동,37.5437,127.0827
구의1동,37.5437,127.0827
구의1동,37.5434,127.0893
구의1동,37.5434,127.0893
구의1동,37.5434,127.0893
구의1동,37.5434,127.0893
구의1동,37.5434,127.0893
구의1동,37.5424,127.0851
구의1동,37.5424,127.0851
구의1동,37.5424,127.0851
구의1동,37.5424,127.0851
구의1동,37.5424,127.0851
구의1동,37.5416,127.0895
구의1동,37.5416,127.0895
구의1동,37.5416,127.0895
구의1동,37.5416,127.0895
구의1동,37.5416,127.0895
구의1동,37.5416,127.0895
구의1동,37.5384,127.0874
구의1동,37.5384,127.0874
구의1동,37.5384,127.0874
구의1동,37.5384,127.0874
구의1동,37.5384,127.0874
구의1동,37.5374,127.0839
구의1동,37.5374,127.0839
구의1동,37.5374,127.0839
구의1동,37.5374,127.0839
구의1동,37.5418,127.083
구의1동,37.5418,127.083
구의1동,37.5418,127.083
구의1동,37.5418,127.083
구의1동,37.5418,127.083
구의1동,37.5445,127.088
구의1동,37.5445,127.088
구의1동,37.5445,127.088
구의1동,37.5445,127.088
구의1동,37.5404,127.0862
구의1동,37.5404,127.0862
구의1동,37.5404,127.0862
구의1동,37.5404,127.0862
구의1동,37.5404,127.0862
구의1동,37.5388,127.0892
구의1동,37.5388,127.0892
구의1동,37.5388,127.0892
구의1동,37.5388,127.0892
구의1동,37.5388,127.0892
구의1동,37.5388,127.0892
구의1동,37.5379,127.087
구의1동,37.5379,127.087
구의1동,37.5379,127.087
구의1동,37.5379,127.087
구의2동,37.5517,127.0955
구의2동,37.5517,127.0955
